time,ax,ay,az,atotal
5.515,-0.00,-0.01,-0.05,0.06
5.525,0.01,0.00,-0.06,0.06
5.535,0.01,-0.01,-0.05,0.05
5.545,0.00,0.01,-0.05,0.05
5.555,0.01,-0.00,-0.04,0.04
5.565,-0.01,-0.00,-0.03,0.04
5.575,-0.01,-0.01,-0.04,0.04
5.585,-0.00,-0.01,-0.05,0.05
5.595,0.00,-0.00,-0.05,0.05
5.606,-0.01,0.00,-0.04,0.05
5.616,0.01,-0.00,-0.05,0.05
5.626,0.01,-0.01,-0.06,0.06
5.636,-0.00,0.00,-0.06,0.06
5.646,0.00,-0.00,-0.04,0.04
5.656,0.01,-0.00,-0.04,0.04
5.666,-0.01,0.00,-0.04,0.04
5.676,0.00,0.01,-0.05,0.05
5.686,-0.02,-0.01,-0.03,0.04
5.696,-0.00,-0.01,-0.06,0.06
5.706,-0.01,0.01,-0.07,0.07
5.716,-0.01,-0.00,-0.05,0.05
5.727,-0.00,-0.01,-0.04,0.04
5.737,-0.01,-0.01,-0.05,0.05
5.747,0.01,0.01,-0.05,0.05
5.757,-0.00,0.01,-0.04,0.04
5.767,-0.01,-0.01,-0.05,0.05
5.777,-0.00,-0.01,-0.06,0.06
5.787,-0.01,0.01,-0.05,0.05
5.797,-0.01,0.00,-0.04,0.04
5.807,0.01,-0.01,-0.05,0.05
5.817,0.00,-0.00,-0.04,0.04
5.827,-0.00,0.01,-0.05,0.05
5.838,0.01,-0.01,-0.06,0.06
5.847,-0.01,-0.01,-0.04,0.04
5.858,-0.01,0.00,-0.04,0.04
5.868,0.01,-0.00,-0.05,0.05
5.878,0.00,-0.00,-0.04,0.04
5.888,-0.00,0.02,-0.06,0.06
5.898,-0.00,-0.00,-0.03,0.03
5.908,-0.01,-0.01,-0.05,0.05
5.918,-0.01,-0.00,-0.05,0.05
5.928,0.01,-0.01,-0.06,0.06
5.938,-0.00,0.00,-0.06,0.06
5.948,0.01,0.00,-0.05,0.05
5.959,-0.00,-0.01,-0.06,0.06
5.968,-0.01,0.00,-0.06,0.06
5.978,0.01,0.01,-0.05,0.05
5.988,-0.01,-0.00,-0.03,0.04
5.999,-0.01,-0.01,-0.05,0.05
6.009,-0.01,0.00,-0.05,0.05
6.019,0.00,0.01,-0.03,0.03
6.029,0.00,-0.01,-0.05,0.05
6.039,0.01,0.00,-0.05,0.05
6.049,-0.01,-0.00,-0.04,0.04
6.059,-0.00,0.00,-0.04,0.04
6.069,0.01,-0.00,-0.04,0.04
6.079,0.00,0.00,-0.03,0.03
6.089,0.01,0.02,-0.05,0.05
6.100,-0.00,-0.01,-0.05,0.05
6.110,0.00,0.01,-0.04,0.05
6.120,-0.01,0.00,-0.03,0.04
6.130,-0.00,-0.00,-0.05,0.05
6.140,0.00,-0.01,-0.06,0.06
6.150,-0.01,0.01,-0.05,0.05
6.160,-0.00,0.00,-0.04,0.04
6.170,-0.02,-0.01,-0.04,0.05
6.180,-0.01,-0.01,-0.06,0.06
6.190,0.01,-0.03,-0.04,0.05
6.200,0.01,0.01,-0.03,0.04
6.210,0.02,0.02,-0.04,0.05
6.221,-0.01,-0.01,-0.06,0.06
6.231,-0.00,-0.00,-0.05,0.05
6.241,-0.00,0.02,-0.05,0.05
6.251,-0.01,-0.01,-0.05,0.05
6.261,0.00,-0.01,-0.04,0.04
